time,seconds_elapsed,y,z,x
1702338897601988400,203.43898828125,-27,47,-39
1702338897702199000,203.53919897460938,-27,48,-39
1702338897801187800,203.63818774414062,-27,47,-37
1702338897901894700,203.73889477539063,-28,48,-38
1702338898000870700,203.83787060546874,-27,46,-38
1702338898100732000,203.93773193359374,-28,47,-38
1702338898200560400,204.03756030273436,-28,46,-38
1702338898301915100,204.1389150390625,-28,47,-38
1702338898402091800,204.239091796875,-28,48,-38
1702338898500631000,204.33763110351563,-28,48,-37
1702338898601988900,204.43898876953125,-28,47,-38
1702338898702120700,204.53912060546875,-28,47,-38
1702338898801048600,204.63804858398439,-28,47,-37
1702338898901988600,204.73898852539062,-28,47,-38
1702338899000862500,204.83786254882813,-28,48,-38
1702338899100502300,204.93750219726562,-28,46,-37
1702338899201533400,205.03853344726562,-28,47,-39
1702338899301789400,205.13878955078124,-28,47,-38
1702338899402193200,205.23919311523437,-28,45,-38
1702338899501363000,205.3383630371094,-28,47,-38
1702338899601922000,205.4389221191406,-28,47,-37
1702338899702229200,205.53922924804687,-27,47,-37
1702338899800859000,205.63785888671876,-28,47,-38
1702338899901846500,205.73884643554686,-28,45,-38
1702338900000834600,205.83783447265625,-28,46,-38
1702338900100489500,205.93748950195314,-28,48,-37
1702338900201004500,206.03800463867188,-27,47,-38
1702338900302605600,206.13960546875,-28,47,-37
1702338900402090000,206.23909008789062,-28,46,-37
1702338900500952800,206.33795288085938,-28,47,-38
1702338900601900300,206.438900390625,-28,48,-38
1702338900702175200,206.53917529296876,-28,46,-37
1702338900802129200,206.63912915039063,-28,46,-38
1702338900901833200,206.73883325195314,-28,47,-37
1702338901000728000,206.83772802734376,-28,47,-38
1702338901100524500,206.93752465820313,-28,46,-38
1702338901200487700,207.03748779296876,-28,47,-38
1702338901300541200,207.1375412597656,-28,46,-38
1702338901404596200,207.24159619140624,-28,47,-38
1702338901501884200,207.33888427734374,-28,46,-38
1702338901602200000,207.43919995117187,-28,45,-38
1702338901700890000,207.53789013671874,-28,46,-38
1702338901801963500,207.63896362304686,-28,46,-38
1702338901902113000,207.73911303710938,-28,46,-38
1702338902000881000,207.837880859375,-28,46,-37
1702338902100489000,207.93748901367186,-28,46,-37
1702338902200504300,208.03750439453125,-28,46,-37
1702338902300547800,208.1375478515625,-28,46,-37
1702338902401143000,208.23814306640625,-28,47,-38
1702338902501993700,208.33899365234376,-29,47,-37
1702338902602126000,208.4391259765625,-28,45,-38
1702338902701973500,208.53897338867188,-27,46,-38
1702338902802022000,208.63902197265625,-28,47,-38
1702338902902147600,208.73914770507812,-28,47,-38
1702338903000568000,208.83756811523438,-27,47,-38
1702338903100519400,208.93751953125,-28,45,-38
1702338903200585700,209.03758569335938,-28,47,-37
1702338903301970200,209.13897021484374,-28,48,-38
1702338903400998100,209.237998046875,-28,47,-38
1702338903501817000,209.33881713867189,-28,46,-38
1702338903602091500,209.43909155273437,-29,46,-37
1702338903700631000,209.53763110351562,-28,47,-39
1702338903802104000,209.63910400390625,-28,47,-38
1702338903902122200,209.7391223144531,-28,46,-38
1702338904000745000,209.8377448730469,-27,46,-38
1702338904100518400,209.93751831054686,-28,46,-38
1702338904200491300,210.0374912109375,-28,46,-37
1702338904302116000,210.1391162109375,-28,47,-38
